trials,task,level,n,rt,acc,id
14,MS,hard,6,NA,0.8571428571428571,z93bJWn4hw
15,MS,easy,3,NA,1,z93bJWn4hw
15,MS,medium,5,NA,1,z93bJWn4hw
15,MS,hard,6,NA,0.8571428571428571,z93bJWn4hw
16,MS,easy,3,NA,1,z93bJWn4hw
16,MS,medium,4,NA,0.8,z93bJWn4hw
16,MS,hard,6,NA,0.8571428571428571,z93bJWn4hw
1,MS,easy,3,NA,1,PsevAJnzJ0
1,MS,medium,4,NA,0.8,PsevAJnzJ0
1,MS,hard,6,NA,0.8571428571428571,PsevAJnzJ0
2,MS,easy,3,NA,1,PsevAJnzJ0
2,MS,medium,5,NA,1,PsevAJnzJ0
2,MS,hard,5,NA,0.7142857142857143,PsevAJnzJ0
3,MS,easy,3,NA,1,PsevAJnzJ0
3,MS,medium,5,NA,1,PsevAJnzJ0
3,MS,hard,4,NA,0.5714285714285714,PsevAJnzJ0
4,MS,easy,3,NA,1,PsevAJnzJ0
4,MS,medium,5,NA,1,PsevAJnzJ0
4,MS,hard,5,NA,0.7142857142857143,PsevAJnzJ0
5,MS,easy,3,NA,1,PsevAJnzJ0
5,MS,medium,5,NA,1,PsevAJnzJ0
5,MS,hard,6,NA,0.8571428571428571,PsevAJnzJ0
6,MS,easy,3,NA,1,PsevAJnzJ0
6,MS,medium,5,NA,1,PsevAJnzJ0
6,MS,hard,5,NA,0.7142857142857143,PsevAJnzJ0
7,MS,easy,3,NA,1,PsevAJnzJ0
7,MS,medium,5,NA,1,PsevAJnzJ0
7,MS,hard,5,NA,0.7142857142857143,PsevAJnzJ0
8,MS,easy,3,NA,1,PsevAJnzJ0
8,MS,medium,4,NA,0.8,PsevAJnzJ0
8,MS,hard,4,NA,0.5714285714285714,PsevAJnzJ0
9,MS,easy,3,NA,1,PsevAJnzJ0
9,MS,medium,5,NA,1,PsevAJnzJ0
9,MS,hard,5,NA,0.7142857142857143,PsevAJnzJ0
10,MS,easy,3,NA,1,PsevAJnzJ0
